# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   76       2.663458743742e-10       5.418485798767e-14      -1.127662176362e-12       0.000000000000e+00       2.159471003308e-11       2.722043942258e-12      -9.564914327006e-15 
   77       2.697053065381e-10       5.608579838072e-14      -1.195973011705e-12       0.000000000000e+00       2.091716070142e-11       2.648059698662e-12      -9.738087701293e-15 
   78       2.730949039317e-10       5.800945205081e-14      -1.265678620217e-12       0.000000000000e+00       2.026643758934e-11       2.577185057297e-12      -9.939417106160e-15 
   79       2.765153442776e-10       5.995383257080e-14      -1.336721865043e-12       0.000000000000e+00       1.964216305091e-11       2.509334154136e-12      -1.015839837745e-14 
   80       2.799669910657e-10       6.191682395995e-14      -1.409041743359e-12       0.000000000000e+00       1.904355552118e-11       2.444370235401e-12      -1.038330235144e-14 
   81       2.834498758984e-10       6.389617788180e-14      -1.482573326276e-12       0.000000000000e+00       1.846941177178e-11       2.382103474279e-12      -1.060113482075e-14 
   82       2.869636808373e-10       6.588951084209e-14      -1.557247698739e-12       0.000000000000e+00       1.791808916643e-11       2.322288787641e-12      -1.079759649031e-14 
   83       2.905077207492e-10       6.789430138666e-14      -1.632991899436e-12       0.000000000000e+00       1.738748791649e-11       2.264623652757e-12      -1.095704293326e-14 
   84       2.940813109397e-10       6.990813930015e-14      -1.709737258591e-12       0.000000000000e+00       1.687556144657e-11       2.208819423845e-12      -1.106573114540e-14 
   85       2.976849787512e-10       7.192952680655e-14      -1.787446131149e-12       0.000000000000e+00       1.638198357246e-11       2.154833648271e-12      -1.112226531533e-14 
   86       3.013194213888e-10       7.395720567075e-14      -1.866089505813e-12       0.000000000000e+00       1.590672645746e-11       2.102672439575e-12      -1.112881737439e-14 
   87       3.049851274766e-10       7.598991841925e-14      -1.945639081027e-12       0.000000000000e+00       1.544954833794e-11       2.052319467881e-12      -1.108800933390e-14 
   88       3.086823658798e-10       7.802640977334e-14      -2.026067346029e-12       0.000000000000e+00       1.500998465477e-11       2.003735011897e-12      -1.100292847802e-14 
   89       3.124111745257e-10       8.006542808230e-14      -2.107347661888e-12       0.000000000000e+00       1.458733918462e-11       1.956855010928e-12      -1.087714255663e-14 
   90       3.161713492253e-10       8.210572675665e-14      -2.189454342554e-12       0.000000000000e+00       1.418067517129e-11       1.911590116881e-12      -1.071471497824e-14 
   91       3.199624324948e-10       8.414606570129e-14      -2.272362735896e-12       0.000000000000e+00       1.378880645710e-11       1.867824746277e-12      -1.052022000285e-14 
   92       3.237837023771e-10       8.618521274878e-14      -2.356049304751e-12       0.000000000000e+00       1.341028861422e-11       1.825416132254e-12      -1.029875793483e-14 
   93       3.276344303222e-10       8.822183478225e-14      -2.440483619673e-12       0.000000000000e+00       1.304376167646e-11       1.784230169684e-12      -1.005548225133e-14 
   94       3.315147234755e-10       9.025414925975e-14      -2.525602783565e-12       0.000000000000e+00       1.268905656240e-11       1.744257176506e-12      -9.794066633502e-15 
   95       3.354247889913e-10       9.228022268515e-14      -2.611333292456e-12       0.000000000000e+00       1.234623943543e-11       1.705511871174e-12      -9.518034394007e-15 
   96       3.393646688760e-10       9.429807616855e-14      -2.697598751475e-12       0.000000000000e+00       1.201527094229e-11       1.667997693858e-12      -9.231234377722e-15 
   97       3.433342325034e-10       9.630568534529e-14      -2.784319844871e-12       0.000000000000e+00       1.169600217076e-11       1.631706363507e-12      -8.937849455062e-15 
   98       3.473331691292e-10       9.830098029493e-14      -2.871414306032e-12       0.000000000000e+00       1.138817060739e-11       1.596617434908e-12      -8.642405015279e-15 
   99       3.513609804058e-10       1.002818454603e-13      -2.958796887498e-12       0.000000000000e+00       1.109139609518e-11       1.562697855744e-12      -8.349777459761e-15 
  100       3.554169728971e-10       1.022461195663e-13      -3.046379330982e-12       0.000000000000e+00       1.080517679131e-11       1.529901523664e-12      -8.065202695336e-15 
  101       3.595002505934e-10       1.041915955392e-13      -3.134070337386e-12       0.000000000000e+00       1.052888512486e-11       1.498168843334e-12      -7.794284627570e-15 
  102       3.636097074262e-10       1.061160204255e-13      -3.221775536817e-12       0.000000000000e+00       1.026176375448e-11       1.467426283503e-12      -7.543003654072e-15 
  103       3.677440197829e-10       1.080170953108e-13      -3.309397458607e-12       0.000000000000e+00       1.000292152611e-11       1.437585934063e-12      -7.317725157790e-15 
  104       3.719019299690e-10       1.098925839121e-13      -3.396842033338e-12       0.000000000000e+00       9.751535499436e-12       1.408565522922e-12      -7.123732629254e-15 
  105       3.760831563271e-10       1.117406552357e-13      -3.484039163815e-12       0.000000000000e+00       9.507496814487e-12       1.380352500162e-12      -6.960583066531e-15 
  106       3.802875926793e-10       1.135595872715e-13      -3.570924889969e-12       0.000000000000e+00       9.270844942373e-12       1.352947825250e-12      -6.826137070630e-15 
  107       3.845150241226e-10       1.153476635536e-13      -3.657435146293e-12       0.000000000000e+00       9.041567651245e-12       1.326346064796e-12      -6.717970562601e-15 
  108       3.887651227406e-10       1.171031742732e-13      -3.743505803634e-12       0.000000000000e+00       8.819599228504e-12       1.300535174450e-12      -6.633367063965e-15 
  109       3.930374433158e-10       1.188244173919e-13      -3.829072710998e-12       0.000000000000e+00       8.604818702998e-12       1.275496280788e-12      -6.569309977148e-15 
  110       3.973314190413e-10       1.205096997548e-13      -3.914071737339e-12       0.000000000000e+00       8.397048067224e-12       1.251203463216e-12      -6.522474865912e-15 
  111       4.016463572332e-10       1.221573382039e-13      -3.998438813364e-12       0.000000000000e+00       8.196050499522e-12       1.227623535856e-12      -6.489221735788e-15 
  112       4.059814350424e-10       1.237656606912e-13      -4.082109973326e-12       0.000000000000e+00       8.001528586282e-12       1.204715829443e-12      -6.465587314509e-15 
  113       4.103356951664e-10       1.253330073918e-13      -4.165021396824e-12       0.000000000000e+00       7.813122544137e-12       1.182431973222e-12      -6.447277332439e-15 
  114       4.147080415618e-10       1.268577318173e-13      -4.247109450600e-12       0.000000000000e+00       7.630408442164e-12       1.160715676836e-12      -6.429658803011e-15 
  115       4.190972351561e-10       1.283382019288e-13      -4.328310730338e-12       0.000000000000e+00       7.452896424085e-12       1.139502512224e-12      -6.407752303152e-15 
  116       4.235020639519e-10       1.297728296286e-13      -4.408560544917e-12       0.000000000000e+00       7.280138110926e-12       1.118734674246e-12      -6.377248990721e-15 
  117       4.279218859700e-10       1.311601609208e-13      -4.487788070753e-12       0.000000000000e+00       7.112067423974e-12       1.098407764795e-12      -6.337718438962e-15 
  118       4.323561445730e-10       1.324987988542e-13      -4.565920684065e-12       0.000000000000e+00       6.948698053900e-12       1.078529313656e-12      -6.289778133463e-15 
  119       4.368041972636e-10       1.337873774737e-13      -4.642885493424e-12       0.000000000000e+00       6.790017184422e-12       1.059104223995e-12      -6.234104958770e-15 
  120       4.412653129386e-10       1.350245631848e-13      -4.718609367777e-12       0.000000000000e+00       6.635984679849e-12       1.040134686689e-12      -6.171436539273e-15 
  121       4.457386691423e-10       1.362090561175e-13      -4.793018964478e-12       0.000000000000e+00       6.486532272618e-12       1.021620094656e-12      -6.102572580091e-15 
  122       4.502233493212e-10       1.373395914906e-13      -4.866040757310e-12       0.000000000000e+00       6.341562750848e-12       1.003556957194e-12      -6.028376207952e-15 
  123       4.547183400776e-10       1.384149409756e-13      -4.937601064513e-12       0.000000000000e+00       6.200949145874e-12       9.859388143046e-13      -5.949775312078e-15 
  124       4.592225284234e-10       1.394339140611e-13      -5.007626076811e-12       0.000000000000e+00       6.064533919797e-12       9.687561510303e-13      -5.867763885068e-15 
  125       4.637346990343e-10       1.403953594168e-13      -5.076041885436e-12       0.000000000000e+00       5.932128153028e-12       9.519963117849e-13      -5.783403363779e-15 
  126       4.682535315038e-10       1.412981662573e-13      -5.142774510158e-12       0.000000000000e+00       5.803510731827e-12       9.356434146853e-13      -5.697823970214e-15 
  127       4.727775975967e-10       1.421412657068e-13      -5.207749927307e-12       0.000000000000e+00       5.678427535851e-12       9.196782658836e-13      -5.612226052399e-15 
  128       4.773053585037e-10       1.429236321628e-13      -5.270894097804e-12       0.000000000000e+00       5.556590625697e-12       9.040782738994e-13      -5.527881425273e-15 
  129       4.818353281411e-10       1.436443293023e-13      -5.332134356177e-12       0.000000000000e+00       5.437740131744e-12       8.888226790908e-13      -5.445888215479e-15 
  130       4.863665891384e-10       1.443026509091e-13      -5.391403690387e-12       0.000000000000e+00       5.321839322497e-12       8.739090726473e-13      -5.366402140836e-15 
  131       4.908983285294e-10       1.448979981449e-13      -5.448636986652e-12       0.000000000000e+00       5.208899499725e-12       8.593385362921e-13      -5.289323042723e-15 
  132       4.954296752372e-10       1.454298379598e-13      -5.503769747937e-12       0.000000000000e+00       5.098918855158e-12       8.451104424160e-13      -5.214533404121e-15 
  133       4.999596985167e-10       1.458977047753e-13      -5.556738131718e-12       0.000000000000e+00       4.991882106707e-12       8.312224064431e-13      -5.141897926653e-15 
  134       5.044874063963e-10       1.463012021685e-13      -5.607478987745e-12       0.000000000000e+00       4.887760134666e-12       8.176702391953e-13      -5.071263107634e-15 
  135       5.090117441204e-10       1.466400045547e-13      -5.655929895809e-12       0.000000000000e+00       4.786509617934e-12       8.044478992582e-13      -5.002456817120e-15 
