# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   97       3.436724587460e-10       9.662795521307e-14      -2.782736176669e-12       4.014661264257e-16       1.169600217076e-11       1.631706363507e-12      -8.937849455062e-15 
   98       3.476735944160e-10       9.862816145764e-14      -2.869671018068e-12       4.098645000967e-16       1.138817060739e-11       1.596617434908e-12      -8.642405015279e-15 
   99       3.517034457234e-10       1.006139641323e-13      -2.956886800158e-12       4.183563097383e-16       1.109139609518e-11       1.562697855744e-12      -8.349777459761e-15 
  100       3.557613118582e-10       1.025832068951e-13      -3.044295224614e-12       4.269426126897e-16       1.080517679131e-11       1.529901523664e-12      -8.065202695336e-15 
  101       3.598462892113e-10       1.045336879796e-13      -3.131804961429e-12       4.356245302038e-16       1.052888512486e-11       1.498168843334e-12      -7.794284627570e-15 
  102       3.639572638848e-10       1.064631601224e-13      -3.219321619208e-12       4.444032489078e-16       1.026176375448e-11       1.467426283503e-12      -7.543003654072e-15 
  103       3.680929042023e-10       1.083693304903e-13      -3.306747715463e-12       4.532800222642e-16       1.000292152611e-11       1.437585934063e-12      -7.317725157790e-15 
  104       3.722519448028e-10       1.102499692290e-13      -3.393989167649e-12       4.622560404343e-16       9.751535499436e-12       1.408565522922e-12      -7.123732629254e-15 
  105       3.764340987603e-10       1.121032519644e-13      -3.480975828895e-12       4.713320167024e-16       9.507496814487e-12       1.380352500162e-12      -6.960583066531e-15 
  106       3.806392552891e-10       1.139274636481e-13      -3.567643683885e-12       4.805085476467e-16       9.270844942373e-12       1.352947825250e-12      -6.826137070630e-15 
  107       3.848671949286e-10       1.157208951754e-13      -3.653928617276e-12       4.897862397616e-16       9.041567651245e-12       1.326346064796e-12      -6.717970562601e-15 
  108       3.891175852587e-10       1.174818445065e-13      -3.739766455649e-12       4.991657094730e-16       8.819599228504e-12       1.300535174450e-12      -6.633367063965e-15 
  109       3.933899766136e-10       1.192086177874e-13      -3.825093009455e-12       5.086475831519e-16       8.604818702998e-12       1.275496280788e-12      -6.569309977148e-15 
  110       3.976837977963e-10       1.208995304710e-13      -3.909844114972e-12       5.182324971301e-16       8.397048067224e-12       1.251203463216e-12      -6.522474865912e-15 
  111       4.019983517937e-10       1.225529084380e-13      -3.993955676248e-12       5.279210977138e-16       8.196050499522e-12       1.227623535856e-12      -6.489221735788e-15 
  112       4.063328114903e-10       1.241670891180e-13      -4.077363707053e-12       5.377140411990e-16       8.001528586282e-12       1.204715829443e-12      -6.465587314509e-15 
  113       4.106862153835e-10       1.257404226106e-13      -4.160004372831e-12       5.476119938855e-16       7.813122544137e-12       1.182431973222e-12      -6.447277332439e-15 
  114       4.150574632973e-10       1.272712728062e-13      -4.241814032647e-12       5.576156320919e-16       7.630408442164e-12       1.160715676836e-12      -6.429658803011e-15 
  115       4.194453120973e-10       1.287580185074e-13      -4.322729281139e-12       5.677256421703e-16       7.452896424085e-12       1.139502512224e-12      -6.407752303152e-15 
  116       4.238485458063e-10       1.301990825776e-13      -4.402685441982e-12       5.779427216521e-16       7.280138110926e-12       1.118734674246e-12      -6.377248990721e-15 
  117       4.282665185767e-10       1.315930210129e-13      -4.481611750805e-12       5.882675828149e-16       7.112067423974e-12       1.098407764795e-12      -6.337718438962e-15 
  118       4.326986699934e-10       1.329384468552e-13      -4.559435662656e-12       5.987009495787e-16       6.948698053900e-12       1.078529313656e-12      -6.289778133463e-15 
  119       4.371443538651e-10       1.342340044872e-13      -4.636084376037e-12       6.092435564377e-16       6.790017184422e-12       1.059104223995e-12      -6.234104958770e-15 
  120       4.416028354815e-10       1.354783710016e-13      -4.711484861159e-12       6.198961484848e-16       6.635984679849e-12       1.040134686689e-12      -6.171436539273e-15 
  121       4.460732888693e-10       1.366702575694e-13      -4.785563888201e-12       6.306594814362e-16       6.486532272618e-12       1.021620094656e-12      -6.102572580091e-15 
  122       4.505547940489e-10       1.378084108089e-13      -4.858248055571e-12       6.415343216560e-16       6.341562750848e-12       1.003556957194e-12      -6.028376207952e-15 
  123       4.550463342910e-10       1.388916141549e-13      -4.929463818162e-12       6.525214461807e-16       6.200949145874e-12       9.859388143046e-13      -5.949775312078e-15 
  124       4.595467933730e-10       1.399186892270e-13      -4.999137515612e-12       6.636216427441e-16       6.064533919797e-12       9.687561510303e-13      -5.867763885068e-15 
  125       4.640549528353e-10       1.408884971989e-13      -5.067195400560e-12       6.748357098017e-16       5.932128153028e-12       9.519963117849e-13      -5.783403363779e-15 
  126       4.685694892382e-10       1.417999401669e-13      -5.133563666910e-12       6.861644565553e-16       5.803510731827e-12       9.356434146853e-13      -5.697823970214e-15 
